hind-vadodara;Hind Vadodara;300;latin-ext_latin_gujarati
hind;Hind;300;latin
hind-guntur;Hind Guntur;300;latin
hind-madurai;Hind Madurai;300;latin
hind-siliguri;Hind Siliguri;300;latin
hind-vadodara;Hind Vadodara;300;latin
ibm-plex-mono;IBM Plex Mono;300;latin
ibm-plex-sans;IBM Plex Sans;300;latin
ibm-plex-sans-condensed;IBM Plex Sans Condensed;300;latin
ibm-plex-serif;IBM Plex Serif;300;latin
inknut-antiqua;Inknut Antiqua;300;latin
josefin-sans;Josefin Sans;300;latin
josefin-slab;Josefin Slab;300;latin
jura;Jura;300;latin
k2d;K2D;300;latin
kalam;Kalam;300;latin
kanit;Kanit;300;latin
kanit;Kanit;300;thai
kanit;Kanit;300;thai_latin
kanit;Kanit;300;thai_latin-ext_latin_vietnamese
kantumruy;Kantumruy;300;khmer
karma;Karma;300;latin
khand;Khand;300;latin
khula;Khula;300;latin
kodchasan;Kodchasan;300;latin
koho;KoHo;300;latin
kreon;Kreon;300;latin
krub;Krub;300;latin
laila;Laila;300;latin
lato;Lato;300;latin
lemonada;Lemonada;300;latin
libre-franklin;Libre Franklin;300;latin
londrina-solid;Londrina Solid;300;latin
m-plus-1p;M PLUS 1p;300;latin
m-plus-rounded-1c;M PLUS Rounded 1c;300;latin
mada;Mada;300;latin
maitree;Maitree;300;latin
mali;Mali;300;latin
martel;Martel;300;latin
martel-sans;Martel Sans;300;latin
merriweather;Merriweather;300;latin
merriweather-sans;Merriweather Sans;300;latin
mitr;Mitr;300;latin
montserrat;Montserrat;300;latin
montserrat-alternates;Montserrat Alternates;300;latin
mukta;Mukta;300;latin-ext_latin_devanagari
mukta-mahee;Mukta Mahee;300;gurmukhi_latin-ext_latin
mukta-malar;Mukta Malar;300;latin-ext_tamil_latin
mukta-vaani;Mukta Vaani;300;latin-ext_latin_gujarati
mukta;Mukta;300;latin
mukta-mahee;Mukta Mahee;300;latin
mukta-malar;Mukta Malar;300;latin
mukta-vaani;Mukta Vaani;300;latin
muli;Muli;300;latin
neuton;Neuton;300;latin
niramit;Niramit;300;latin
noto-sans-jp;Noto Sans JP;300;japanese_latin
noto-sans-kr;Noto Sans KR;300;latin_korean
noto-serif-jp;Noto Serif JP;300;japanese_latin
noto-serif-kr;Noto Serif KR;300;latin_korean
nunito;Nunito;300;latin
nunito-sans;Nunito Sans;300;latin
open-sans;Open Sans;300;latin
open-sans;Open Sans;300;greek-ext
open-sans;Open Sans;300;cyrillic-ext
open-sans;Open Sans;300;latin-ext
open-sans;Open Sans;300;vietamese
open-sans-condensed;Open Sans Condensed;300;latin
oswald;Oswald;300;latin
overpass;Overpass;300;latin
overpass-mono;Overpass Mono;300;latin
oxygen;Oxygen;300;latin
palanquin;Palanquin;300;latin
poppins;Poppins;300;latin
pridi;Pridi;300;latin
prompt;Prompt;300;latin
quicksand;Quicksand;300;latin
rajdhani;Rajdhani;300;latin
raleway;Raleway;300;latin
rasa;Rasa;300;latin
roboto-condensed;Roboto Condensed;300;latin
roboto-mono;Roboto Mono;300;latin
roboto-slab;Roboto Slab;300;latin
rokkitt;Rokkitt;300;latin
rubik;Rubik;300;latin
saira;Saira;300;latin
saira-condensed;Saira Condensed;300;latin
saira-extra-condensed;Saira Extra Condensed;300;latin
saira-semi-condensed;Saira Semi Condensed;300;latin
signika;Signika;300;latin
signika-negative;Signika Negative;300;latin
source-code-pro;Source Code Pro;300;latin
source-sans-pro;Source Sans Pro;300;latin
spectral;Spectral;300;latin
spectral-sc;Spectral SC;300;latin
stoke;Stoke;300;latin
sunflower;Sunflower;300;latin
tajawal;Tajawal;300;arabic_latin
tajawal;Tajawal;300;latin
teko;Teko;300;latin
titillium-web;Titillium Web;300;latin
trirong;Trirong;300;latin
ubuntu;Ubuntu;300;latin
work-sans;Work Sans;300;latin
yanone-kaffeesatz;Yanone Kaffeesatz;300;latin
